object_id,area,elev_mean,clay_0_30cm_mean,sand_0_30cm_mean,silt_0_30cm_mean,artificial_surfaces_perc,agricultural_areas_perc,forests_and_seminatural_areas_perc,wetlands_perc,water_bodies_perc,p_mean,p_seasonality,frac_snow,high_prec_freq,low_prec_freq,high_prec_dur,low_prec_dur
DE110000,763.07,822.25,28.89,24.79,41.18,7.84,44.25,47.51,0.24,0.17,2.97,0.01,0.12,15.23,202.67,1.19,3.71
DE110010,831.29,820.25,28.99,25.03,41.03,7.82,42.92,48.89,0.22,0.15,2.87,0.05,0.12,13.3,178.97,1.19,3.72
DE110020,2618.6,774.9,28.64,22.78,43.63,7.21,44.28,48.2,0.11,0.2,2.54,0.19,0.1,15.22,212.8,1.18,3.74
DE110030,4093.96,729.47,27.88,23.04,44.52,6.26,50.69,42.49,0.31,0.25,2.45,0.25,0.09,15.23,213.89,1.17,3.74
DE110040,272.81,628.93,23.04,32.7,41.7,3.38,57.5,39.12,0,0,2.61,0.4,0.07,17.16,223.92,1.18,3.75
DE110060,308.99,733.07,23.88,33.61,38.97,4.67,57.23,33.49,4.29,0.33,3.45,0.28,0.1,16.26,209.92,1.17,3.74
DE110080,313.81,595.99,30.12,19.04,47.46,4.51,59.58,35.91,0,0,2.29,0.2,0.08,17.74,230.81,1.17,3.77
DE110090,155.99,775.18,33.18,13.44,48.46,7.18,60.97,31.85,0,0,2.57,0.23,0.11,16.23,215.27,1.17,3.77
DE110100,1311.26,817.66,28.98,23.9,42.05,7.88,41.17,50.67,0.19,0.1,2.75,0.08,0.11,15.77,212.88,1.17,3.76
DE110120,94.54,644.64,23.94,31.21,41.36,3.68,73.05,23.27,0,0,2.63,0.4,0.06,17.07,225.83,1.17,3.77
DE110130,131.66,677.49,24.8,33.7,39.79,2.03,62.84,35.13,0,0,2.84,0.36,0.08,17.75,223.38,1.17,3.77
DE110140,83.59,780.36,29.51,22.46,42.71,8.84,42.82,47.57,0.78,0,2.41,0.26,0.1,18,226.92,1.17,3.78
DE110150,868.84,819.3,29.06,25.14,40.92,7.76,42.28,49.6,0.21,0.15,2.92,0,0.11,15.44,207.51,1.17,3.77
DE110160,90.88,788.48,34.1,12.58,49.53,6.12,64.71,29.17,0,0,2.67,0.2,0.11,15.87,208.75,1.17,3.77
DE110170,59.36,344.23,33.14,14.72,50.45,2.73,68.29,28.98,0,0,1.92,0.07,0.05,18.5,245.09,1.17,3.81
DE110180,108.53,339.53,32.81,16.25,49.21,2.38,57.34,40.28,0,0,1.99,0.05,0.05,18.22,243.11,1.17,3.84
DE110190,284.73,431.77,31.89,20.06,45.02,3.53,78.22,18.25,0,0,1.98,0.1,0.06,17.53,239.28,1.17,3.86
DE110200,1023.82,381.7,30.93,17.78,48.13,3.63,76.09,20.28,0,0,1.95,0.09,0.05,17.07,238.42,1.17,3.88
DE110210,104.65,375.83,32.3,15.7,48.59,5.1,61.38,33.52,0,0,2.01,0.02,0.05,18.03,241.06,1.17,3.89
DE110220,29.39,669.58,23.69,33.7,41.73,1.05,79.85,19.07,0.03,0,4.2,0.22,0.08,17.71,211.07,1.17,3.88
